id;precio;metros_cuadrados_utiles;numero_baNos;numero_habitaciones;planta;antigUedad;aire_acondicionado_Si;ascensor_Si;piscina_Si;trastero_Si;garaje_Si;balcon_Si;jardin_Si;armarios_Si;poblacion_km2;renta_media_hogar;distancia_centro_Madrid_m;pois_comunitarios;pois_BigBusiness
10556;620000;97;2;3;3;22;True;True;True;True;True;False;False;True;15757;20642;7505;16;0
10557;260000;94;2;3;2;65;False;True;False;False;False;False;False;True;15757;20642;7213;16;0
10567;1300000;431;3;5;4;46;False;True;False;True;True;False;False;False;15757;20642;6919;16;0
10577;115000;78;1;3;4;48;True;False;False;False;False;False;False;True;15757;20642;7505;16;0
10579;197000;72;2;2;3;46;False;True;False;False;False;False;False;False;15757;20642;7085;16;0
10581;155000;56;1;2;4;65;False;False;False;False;False;True;False;False;15757;20642;7601;16;0
10582;86000;53;1;2;3;65;False;False;False;False;False;False;False;False;15757;20642;6912;16;0
10584;725000;200;3;4;3;23;True;True;True;True;True;False;False;True;15757;20642;7505;16;0
10601;91000;56;1;2;2;46;False;False;False;False;False;False;False;False;15757;20642;7118;16;0
10604;599000;129;2;2;3;16;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10606;116000;64;1;2;0;46;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10619;175000;42;1;2;0;65;False;False;False;True;False;False;False;False;15757;20642;6911;16;0
10622;319000;91;1;3;3;46;True;True;False;False;False;False;False;True;15757;20642;6742;16;0
10626;160000;43;1;3;3;65;True;True;False;False;False;False;False;False;15757;20642;6919;16;0
10628;575000;70;1;2;6;15;True;True;True;True;True;False;False;True;15757;20642;7505;16;0
10634;245500;58;1;4;1;70;True;False;False;False;False;False;False;False;15757;20642;7291;16;0
10644;170000;51;1;2;3;65;False;False;False;False;False;False;False;False;15757;20642;7213;16;0
10652;155000;60;1;2;4;65;True;False;False;False;False;False;False;True;15757;20642;7118;16;0
10667;570000;108;2;3;4;46;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10672;145000;54;1;3;3;65;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10708;895000;220;3;5;0;26;False;False;False;True;True;False;True;True;15757;20642;7505;16;0
10709;820000;151;2;2;2;46;False;True;True;False;True;False;False;False;15757;20642;7505;16;0
10717;1750000;498;5;9;4;28;True;False;True;True;True;False;False;True;15757;20642;7505;16;0
10718;580000;124;3;3;3;23;True;True;True;True;True;False;False;True;15757;20642;7505;16;0
10719;245000;50;1;2;3;65;True;True;False;False;False;True;False;False;15757;20642;6919;16;0
10726;294900;65;1;2;2;55;True;False;False;False;False;True;False;False;15757;20642;6919;16;0
10728;415000;88;2;3;10;46;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10730;199000;53;1;3;3;65;False;False;False;False;False;False;False;False;15757;20642;6925;16;0
10731;135000;45;1;2;2;46;True;False;False;False;False;False;False;False;15757;20642;6938;16;0
10737;225000;87;2;3;0;70;False;False;False;True;False;False;False;True;15757;20642;6919;16;0
10738;161000;58;1;2;3;65;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10739;450000;80;1;2;4;46;False;True;True;True;True;False;False;True;15757;20642;7505;16;0
10740;164999;60;1;3;0;65;True;False;False;False;False;False;False;True;15757;20642;7505;16;0
10742;159999;55;1;2;3;46;False;False;False;False;False;False;False;False;15757;20642;6763;16;0
10761;368000;290;2;0;2;50;True;True;False;False;False;False;False;False;15757;20642;6919;16;0
10765;155000;40;1;2;1;65;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10780;275000;51;1;1;2;55;True;False;False;False;False;False;False;True;15757;20642;7505;16;0
10788;395000;96;1;4;0;75;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10802;1280000;359;5;5;1;31;True;False;True;False;True;True;True;False;15757;20642;7505;16;0
10807;185000;48;1;2;4;46;True;True;False;False;False;False;False;True;15757;20642;6919;16;0
10808;187900;52;1;2;1;46;True;False;False;False;False;False;False;False;15757;20642;7218;16;0
18956;145000;97;2;2;1;17;False;False;False;False;False;False;False;True;15757;20642;6958;16;0
18539;105000;114;1;2;2;31;False;False;False;False;False;True;False;True;15;20996;51282;2;0
18711;120000;212;1;5;0;31;False;False;False;False;False;False;False;False;15;20996;51391;2;0
18732;195000;114;2;4;2;20;True;False;False;True;False;True;False;True;15;20996;51259;2;0
18734;107000;160;2;5;0;47;False;False;False;True;True;True;False;True;15;20996;51108;0;0
18746;280000;240;3;5;2;31;False;False;True;True;False;True;True;True;15;20996;51206;2;0
18752;200000;200;2;5;0;37;False;False;False;True;False;False;False;True;15;20996;51575;2;0
18851;85000;192;1;1;1;25;False;False;False;False;False;False;False;False;15;20996;51244;2;0
18883;289000;150;1;3;1;40;True;False;True;True;True;False;True;True;15;20996;51108;0;0
18919;194900;145;1;5;0;55;False;False;False;True;False;False;True;False;15;20996;51298;2;0
18946;275000;300;2;5;0;27;False;False;False;True;True;True;True;True;15;20996;51206;2;0
18966;249000;205;2;5;0;30;False;False;False;True;True;False;True;True;15;20996;51212;0;0
18981;299000;201;3;5;0;19;True;False;False;True;True;True;True;True;15;20996;51434;2;0
19219;194900;138;1;5;0;37;False;False;False;True;False;False;True;False;15;20996;51441;2;0
19412;258000;226;3;6;1;34;True;False;False;True;True;False;True;True;15;20996;51040;0;0
9501;184900;75;1;3;0;50;False;False;False;False;False;False;False;True;9316;21080;6365;11;0
9508;195000;75;2;3;0;39;False;False;False;False;False;False;False;False;9316;21080;6316;11;0
9616;159000;89;1;3;6;39;False;True;False;False;False;False;False;False;9316;21080;5971;11;0
9717;245000;87;2;4;7;43;True;True;False;False;False;False;False;True;9316;21080;5971;11;0
9610;205000;94;2;3;1;55;True;False;False;True;False;False;False;True;9316;21128;5540;5;0
9935;208000;94;2;3;1;55;False;False;False;True;False;False;False;True;9316;21128;5540;5;0
9937;208000;94;1;3;1;55;True;False;False;False;False;False;False;False;9316;21128;5540;5;0
9531;140000;50;1;2;4;48;False;False;False;False;False;False;False;False;9316;21258;4287;9;0
9631;225000;65;1;1;3;22;True;True;False;True;False;False;False;True;9316;21258;4133;9;0
9644;269000;100;1;3;4;48;True;False;False;False;False;False;False;False;9316;21258;4395;9;0
9664;167000;77;1;3;3;69;False;False;False;True;False;True;False;True;9316;21258;4213;9;0
9672;219900;43;2;1;4;19;True;True;False;True;False;False;False;True;9316;21258;4213;9;0
9756;97000;64;1;1;2;48;False;True;False;False;False;False;False;False;9316;21258;4229;9;0
9783;210000;80;2;2;0;48;False;False;False;False;False;False;False;True;9316;21258;4189;9;0
9800;170100;63;1;2;1;48;False;True;False;False;False;False;False;False;9316;21258;4213;9;0
9805;145000;63;1;3;0;60;False;False;False;False;False;False;False;False;9316;21258;4400;9;0
9833;212000;42;2;1;4;19;True;True;False;True;False;False;False;True;9316;21258;4213;9;0
9840;194000;66;1;1;1;18;True;True;False;True;False;False;False;True;9316;21258;4189;9;0
9861;160000;55;1;2;2;55;True;False;False;False;False;False;False;False;9316;21258;4451;9;0
9910;165000;50;1;2;2;48;True;False;False;False;False;False;False;True;9316;21258;4319;9;0
9939;140000;40;1;2;2;48;True;False;False;False;False;False;False;False;9316;21258;4400;9;0
18546;224900;140;1;3;1;44;True;False;False;True;True;True;True;True;349;21358;53920;5;0
18551;325000;240;2;3;0;44;True;False;True;True;True;True;True;True;349;21358;53788;5;0
18558;140000;90;2;3;1;44;False;True;False;True;True;False;False;True;349;21358;53516;5;0
18564;153000;60;2;3;1;44;True;False;True;True;True;False;True;True;349;21358;53516;5;0
18586;180000;135;4;3;0;44;True;True;False;False;False;False;False;False;349;21358;53516;5;0
18630;248000;215;3;5;0;45;False;False;False;True;True;False;True;True;349;21358;52680;0;0
18640;149900;120;2;3;1;60;True;False;True;True;True;False;True;True;349;21358;53789;5;0
18691;130000;60;1;2;1;44;False;False;False;False;False;False;False;False;349;21358;53516;5;0
18733;299000;837;6;6;0;44;False;False;False;False;False;False;False;False;349;21358;53484;5;0
18736;145000;110;2;3;1;71;False;False;False;False;False;False;False;False;349;21358;53811;5;0
18767;230000;230;3;5;1;48;False;False;True;True;True;True;True;True;349;21358;53058;1;0
18799;69000;80;1;2;1;19;False;False;False;False;False;True;False;True;349;21358;53516;5;0
18821;239900;240;2;3;0;52;False;False;False;True;True;True;True;True;349;21358;53789;5;0
18911;230000;255;1;3;1;55;False;False;True;True;True;False;True;True;349;21358;53789;5;0
18985;299000;222;2;4;1;47;True;False;False;True;True;False;True;True;349;21358;54178;5;0
18987;1500000;490;9;8;0;44;False;False;False;True;False;True;True;False;349;21358;53735;5;0
18989;500000;350;4;7;2;15;True;False;True;True;True;True;True;True;349;21358;54087;5;0
18998;118000;62;1;3;1;57;True;False;False;True;False;False;True;False;349;21358;52854;1;0
19020;129000;116;2;0;0;60;False;False;False;False;False;False;False;True;349;21358;53796;5;0
19023;175000;172;2;3;1;17;False;False;False;False;False;False;True;False;349;21358;52890;0;0
19054;250000;150;2;4;1;39;False;False;True;True;True;True;True;True;349;21358;53184;0;0
19057;140000;90;1;3;2;44;False;False;True;True;False;False;False;True;349;21358;54619;0;0
19141;300000;430;3;8;2;31;False;False;True;False;False;False;True;True;349;21358;53789;5;0
19171;325000;155;3;4;0;48;False;False;False;False;False;False;True;True;349;21358;52587;1;0
19209;175000;179;3;4;1;18;False;False;False;False;False;False;True;True;349;21358;53789;5;0
19244;179000;214;3;5;0;51;False;False;False;False;False;False;True;True;349;21358;53165;1;0
19245;145000;98;1;3;1;45;True;True;True;True;False;False;False;True;349;21358;53789;5;0
19286;235000;163;3;5;1;56;True;False;True;True;True;True;True;False;349;21358;53933;5;0
19298;299000;800;6;6;0;60;False;False;True;False;True;False;False;True;349;21358;53568;5;0
19320;63000;60;1;2;1;47;False;False;False;False;False;False;False;True;349;21358;54094;0;0
19333;63000;60;1;2;1;47;False;False;False;False;False;False;False;False;349;21358;53437;5;0
19379;258000;220;1;3;0;44;False;False;True;False;False;False;True;True;349;21358;53720;5;0
10486;1445000;227;3;5;2;65;True;True;False;True;False;False;False;False;349;21389;54336;1;0
17558;220000;136;2;3;2;30;False;True;True;False;True;False;False;False;5075;21438;9974;0;0
18232;520000;100;3;3;0;27;True;False;True;False;True;False;True;False;5075;21438;9974;0;0
18332;580000;195;3;3;0;30;False;False;False;True;True;False;True;True;5075;21438;9974;0;0
