id;latitud;longitud;distancia_metros_sol
9866;40,4643278;-3,721480357;5483,71
9867;40,4643278;-3,721480357;5483,71
9868;40,384139;-3,6680301;4726,38
9869;40,39390288;-3,617661984;7708,34
9870;40,58492954;-3,996339598;31014,19
9871;40,39390288;-3,617661984;7708,34
9872;40,39390288;-3,617661984;7708,34
9873;40,39390288;-3,617661984;7708,34
9874;40,39390288;-3,617661984;7708,34
9875;40,3868601;-3,6591803;5028,78
9876;40,38309098;-3,633227858;7042,92
9877;40,3882488;-3,6504326;5512,74
9878;40,4048522;-3,6618797;3773,47
9879;40,4048522;-3,6618797;3773,47
9880;40,38309098;-3,633227858;7042,92
9881;40,38309098;-3,633227858;7042,92
9882;40,38309098;-3,633227858;7042,92
9883;40,39204859;-3,639551444;6083,1
9884;40,38040185;-3,637771172;6892,91
9885;40,3922381;-3,6649773;4266,06
9886;40,38042849;-3,651926471;5964,6
9887;40,39390288;-3,617661984;7708,34
9888;40,3900048;-3,646754;5663,88
9889;40,3922796;-3,6674239;4106,64
9890;40,3808683;-3,650216391;6038,87
9891;40,3913273;-3,6692713;4065,07
9892;40,3856043;-3,667637566;4623,56
9893;40,3930246;-3,6680908;4009,35
9894;40,3868601;-3,6591803;5028,78
9895;40,4038178;-3,66058569;3917,44
9896;40,3858407;-3,63835677;6512,38
9897;40,3868601;-3,6591803;5028,78
9898;40,3918668;-3,636100431;6353,55
9899;40,39635016;-3,663697975;4076,07
9900;40,3908151;-3,662195165;4548,31
9901;40,3931467;-3,665115;4192,64
9902;40,3914249;-3,6685782;4099,63
9903;40,42164306;-3,881709776;15093,34
9904;40,38634035;-3,665233468;4700,23
9905;40,3868601;-3,6591803;5028,78
9906;40,3958627;-3,669291618;3727,7
9907;40,39313595;-3,671555394;3786,15
9908;40,39499873;-3,660509279;4383,97
9909;40,380387;-3,6540998;5834,34
9910;40,3876013;-3,670106815;4318,77
9911;40,3922796;-3,6674239;4106,64
9912;40,3821341;-3,6664303;4984,75
9913;40,3922381;-3,6649773;4266,06
9914;40,39569575;-3,665335348;4004,65
9915;40,3868601;-3,6591803;5028,78
9916;40,40322616;-3,664144693;3666,42
9917;40,3868601;-3,6591803;5028,78
9918;40,3911067;-3,6686157;4121,93
9919;40,38568368;-3,668070624;4592,86
9920;40,3992045;-3,664729;3831,45
9921;40,3868601;-3,6591803;5028,78
9922;40,3865851;-3,668725598;4480,8
9923;40,404429;-3,6599962;3939,27
9924;40,40381265;-3,661046249;3881,49
9925;40,39499873;-3,660509279;4383,97
9926;40,38579328;-3,667261552;4628,8
9927;40,38887375;-3,662559135;4666,22
9928;40,3982863;-3,6522487;4811,65
9929;40,3868601;-3,6591803;5028,78
9930;40,4037401;-3,6579065;4131,87
9931;40,3868601;-3,6591803;5028,78
9932;40,3993657;-3,664381;3847,6
9933;40,3868601;-3,6591803;5028,78
