id;latitud;longitud
9152;40,457749;-3,7827941
9153;40,45839658;-3,793263144
9154;40,4767654;-3,65907378
9155;40,46694;-3,78715495
9156;40,4686163;-3,7298022
9157;40,4307266;-3,7161715
9158;40,47021222;-3,779759587
9159;40,4599187;-3,7999086
9160;40,45536937;-3,716106112
9161;40,46252438;-3,723857609
9162;40,4267826;-3,7177694
9163;40,4633596;-3,7732911
9164;40,4631617;-3,771625
9165;40,4631617;-3,771625
9166;40,4767389;-3,8292742
9167;40,4350196;-3,719236
9168;40,46364877;-3,776764003
9169;40,4631617;-3,771625
9170;40,4633596;-3,7732911
9171;40,4631617;-3,771625
9172;40,4668213;-3,7674423
9173;40,4668213;-3,7674423
9174;40,4668213;-3,7674423
9175;40,4668213;-3,7674423
9176;40,4668213;-3,7674423
9177;40,4668213;-3,7674423
9178;40,4221054;-3,7150141
9179;40,4722862;-3,828990487
9180;40,42108832;-3,714520224
9181;40,43029039;-3,721324543
9182;40,43157445;-3,723433041
9183;40,46987587;-3,726290745
9184;40,4350196;-3,719236
9185;40,4350196;-3,719236
9186;40,4722862;-3,828990487
9187;40,42535572;-3,712538121
9188;40,43157445;-3,723433041
9189;40,4710073;-3,8119061
9190;40,4521528;-3,7656396
9191;40,4221054;-3,7150141
9192;40,4221054;-3,7150141
9193;40,42479582;-3,728805749
9194;40,42861597;-3,717238651
9195;40,4722862;-3,828990487
9196;40,4690163;-3,8109511
9197;40,43253791;-3,719145175
9198;40,42120524;-3,716979864
9199;40,4722862;-3,828990487
9200;40,4350196;-3,719236
9201;40,45606037;-3,717063582
9202;40,46694;-3,78715495
9203;40,4350196;-3,719236
9204;40,44535224;-3,785708624
9205;40,4350196;-3,719236
9206;40,45837944;-3,781236132
9207;40,4350196;-3,719236
9208;40,42525385;-3,714636988
9209;40,4509877;-3,712973192
9210;40,4722862;-3,828990487
9211;40,4654947;-3,7662935
9212;40,36634135;-3,600018038
9213;40,42824141;-3,718087357
9214;40,4283434;-3,7176358
9215;40,457749;-3,7827941
9216;40,4307266;-3,7161715
9217;40,4283434;-3,7176358
9218;40,4307266;-3,7161715
9219;40,39960655;-3,765135337
9220;40,46694;-3,78715495
9221;40,46162376;-3,721600037
9222;40,4722862;-3,828990487
9223;40,44828508;-3,712605553
9224;40,46366476;-3,711232764
9225;40,42120524;-3,716979864
9226;40,4462854;-3,7135045
9227;40,42824141;-3,718087357
9228;40,42220115;-3,722440263
9229;40,4221054;-3,7150141
9230;40,4642232;-3,7665333
9231;40,4307266;-3,7161715
9232;40,42055465;-3,716719791
9233;40,43056029;-3,719657225
9234;40,4457616;-3,785989
9235;40,4730433;-3,827954226
9236;40,42120524;-3,716979864
9237;40,457749;-3,7827941
9238;40,46694;-3,78715495
9239;40,47021222;-3,779759587
9240;40,4718826;-3,728344781
9241;40,46694;-3,78715495
9242;40,4350196;-3,719236
9243;40,4468792;-3,784794
9244;40,4655937;-3,792433287
9245;40,4276393;-3,729103158
9246;40,4612682;-3,801557174
9247;40,42385875;-3,713801081
9248;40,4649188;-3,7165189
9249;40,457749;-3,7827941
9250;40,42824141;-3,718087357
9251;40,4642513;-3,7224288
9252;40,4722862;-3,828990487
9253;40,44763882;-3,710246731
9254;40,42813136;-3,733460443
